acquisitionInformation.acquisitionParameters.acquisitionSystemName	acquisitionInformation.acquisitionParameters.acquisitionSystemType	acquisitionInformation.acquisitionParameters.antennaToSource_inMeters	acquisitionInformation.acquisitionParameters.cableLength_inMeters	acquisitionInformation.acquisitionParameters.cableReceiverDepthRecorded	acquisitionInformation.acquisitionParameters.cableReceiverDepth_inMeters	acquisitionInformation.acquisitionParameters.channelLength_inMeters	acquisitionInformation.acquisitionParameters.compassBirds	acquisitionInformation.acquisitionParameters.nearChannelNumber	acquisitionInformation.acquisitionParameters.numberOfCables	acquisitionInformation.acquisitionParameters.numberOfChannelsEachCable	acquisitionInformation.acquisitionParameters.numberOfChannelsRecorded	acquisitionInformation.acquisitionParameters.receiverType	acquisitionInformation.acquisitionParameters.recordLength_inSeconds	acquisitionInformation.acquisitionParameters.sampleInterval_inMicroseconds	acquisitionInformation.acquisitionParameters.seismicNavSystem	acquisitionInformation.acquisitionParameters.shotControl	acquisitionInformation.acquisitionParameters.shotInterval_inSecondsOrMeters	acquisitionInformation.acquisitionParameters.sourceArraySeparation_inMeters	acquisitionInformation.acquisitionParameters.sourceDepth_inMeters	acquisitionInformation.acquisitionParameters.sourceNumber	acquisitionInformation.acquisitionParameters.sourcePressure_inBars	acquisitionInformation.acquisitionParameters.sourceToNearChannel_inMeters	acquisitionInformation.acquisitionParameters.sourceType	acquisitionInformation.acquisitionParameters.sourceVolume	acquisitionInformation.acquisitionParameters.sourceVolumeUnits	acquisitionInformation.acquisitionParameters.tailBuoyPositioning	acquisitionInformation.platformInformation.platform	acquisitionInformation.platformInformation.platformOrganization	acquisitionInformation.seismicNavFile.dataFileFormat	acquisitionInformation.seismicNavFile.offsetsApplied	acquisitionInformation.seismicNavFile.surveyDatum	datasetInformation.boundingCoordinates.eastLong	datasetInformation.boundingCoordinates.northLat	datasetInformation.boundingCoordinates.southLat	datasetInformation.boundingCoordinates.westLong	datasetInformation.dataClass	datasetInformation.dataContact.contactInformation.email	datasetInformation.dataContact.contactInformation.name	datasetInformation.dataContact.contactInformation.organization	datasetInformation.dataContact.contactInformation.role	datasetInformation.dataMedia	datasetInformation.dataType	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.email	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.name	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.organization	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.role	datasetInformation.datasetAccessControl.accessControl.accessReleaseDate	datasetInformation.datasetAccessControl.accessControl.accessState	datasetInformation.datasetContentLink	datasetInformation.datasetDescription	datasetInformation.datasetID	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.email	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.name	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.organization	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.role	datasetInformation.datasetProcessing.processingParameters.processingScope	datasetInformation.datasetProcessing.processingParameters.processingStep	datasetInformation.datasetProcessing.processingParameters.processingStepDate	datasetInformation.datasetQualityDescription	datasetInformation.datasetSize	datasetInformation.datasetStartDate.date	datasetInformation.datasetStartDate.dateTypeCode	datasetInformation.datasetTitle	datasetInformation.datasetZipLink	datasetInformation.documentation.citationInformation.author	datasetInformation.documentation.citationInformation.citationDate.date	datasetInformation.documentation.citationInformation.citationDate.dateTypeCode	datasetInformation.documentation.citationInformation.doi	datasetInformation.documentation.citationInformation.journalName	datasetInformation.documentation.citationInformation.onlineLinkage	datasetInformation.documentation.citationInformation.page	datasetInformation.documentation.citationInformation.title	datasetInformation.documentation.citationInformation.volume	datasetInformation.geographicFeatures.featureName	datasetInformation.processedDataClass	datasetInformation.processedMethod	datasetInformation.purpose	datasetInformation.resourceProvider.contactInformation.email	datasetInformation.resourceProvider.contactInformation.name	datasetInformation.resourceProvider.contactInformation.organization	datasetInformation.resourceProvider.contactInformation.role	datasetInformation.seismicDataProvenance	datasetInformation.supplementalInformation	datasetInformation.temporalExtent.endDate	datasetInformation.temporalExtent.startDate	metadataInformation.dateOfSubmission	metadataInformation.metadataContact.contactInformation.email	metadataInformation.metadataContact.contactInformation.name	metadataInformation.metadataContact.contactInformation.organization	metadataInformation.metadataContact.contactInformation.role	metadataInformation.metadataDate	metadataInformation.metadataStandard
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-121.81847	38.29796	36.68266	-123.53456	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1976-11-30	open	https://walrus.wr.usgs.gov/namss/survey/w-14-76-sf/dataset/	Unspecified	namss.W-14-76-SF.mcs.airgun.zip					dataset	Unspecified		Unspecified	1.5 GB	1976-10-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1976/namss.W-14-76-SF.mcs.airgun.zip										San Francisco Bay	Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1976-11-30	1976-10-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						410	undocumented	NAD27	-152.67305	59.01351	57.73887	-155.17500	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1979-11-30	open	https://walrus.wr.usgs.gov/namss/survey/w-14-79-wg/dataset/	Unspecified	namss.W-14-79-WG.mcs.airgun.zip					dataset	Unspecified		Unspecified	547.6 MB	1979-10-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1979/namss.W-14-79-WG.mcs.airgun.zip										Gulf of Alaska	Migration, Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1979-11-30	1979-10-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-117.76758	32.66106	31.99932	-120.04810	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1976-09-30	open	https://walrus.wr.usgs.gov/namss/survey/w-15-76-sc/dataset/	Unspecified	namss.W-15-76-SC.mcs.airgun.zip					dataset	Unspecified		Unspecified	196.1 MB	1976-08-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1976/namss.W-15-76-SC.mcs.airgun.zip										Southern California	Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1976-09-30	1976-08-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-162.43943	63.80469	63.08657	-165.31657	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1979-09-30	open	https://walrus.wr.usgs.gov/namss/survey/w-15-79-bs/dataset/	Unspecified	namss.W-15-79-BS.mcs.airgun.zip					dataset	Unspecified		Unspecified	614.0 MB	1979-07-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1979/namss.W-15-79-BS.mcs.airgun.zip										Bering Sea	Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1979-09-30	1979-07-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-122.46210	38.40019	37.12831	-123.58486	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1976-10-31	open	https://walrus.wr.usgs.gov/namss/survey/w-16-76-sf/dataset/	Unspecified	namss.W-16-76-SF.mcs.airgun.zip					dataset	Unspecified		Unspecified	145.2 MB	1976-09-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1976/namss.W-16-76-SF.mcs.airgun.zip										San Francisco Bay	Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1976-10-31	1976-09-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-163.06371	63.72553	62.97181	-165.38866	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1977-06-30	open	https://walrus.wr.usgs.gov/namss/survey/w-16-77-bs/dataset/	Unspecified	namss.W-16-77-BS.mcs.airgun.zip					dataset	Unspecified		Unspecified	751.3 MB	1977-06-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1977/namss.W-16-77-BS.mcs.airgun.zip										Bering Sea	Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1977-06-30	1977-06-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						410	undocumented	NAD27	-142.95622	71.08669	70.06959	-151.27560	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1977-12-31	open	https://walrus.wr.usgs.gov/namss/survey/w-17-77-ar/dataset/	Unspecified	namss.W-17-77-AR.mcs.airgun.zip					dataset	Unspecified		Unspecified	1.0 GB	1977-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1977/namss.W-17-77-AR.mcs.airgun.zip										Beaufort Sea	Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1977-12-31	1977-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-123.11206	40.41198	38.00909	-124.99668	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1979-09-30	open	https://walrus.wr.usgs.gov/namss/survey/w-17-79-nc/dataset/	Unspecified	namss.W-17-79-NC.mcs.airgun.zip					dataset	Unspecified		Unspecified	504.9 MB	1979-09-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1979/namss.W-17-79-NC.mcs.airgun.zip										Northern California	Migration, Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1979-09-30	1979-09-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-121.92689	47.69346	36.21947	-125.47179	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1975-12-31	open	https://walrus.wr.usgs.gov/namss/survey/w-18-75-np/dataset/	Unspecified	namss.W-18-75-NP.mcs.airgun.zip					dataset	Unspecified		Unspecified	371.6 MB	1974-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1975/namss.W-18-75-NP.mcs.airgun.zip										Washington	Migration, Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1975-12-31	1974-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						410	undocumented	NAD27	-147.53359	71.68176	70.51044	-153.35563	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1977-12-31	open	https://walrus.wr.usgs.gov/namss/survey/w-18-77-ar/dataset/	Unspecified	namss.W-18-77-AR.mcs.airgun.zip					dataset	Unspecified		Unspecified	780.6 MB	1977-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1977/namss.W-18-77-AR.mcs.airgun.zip										Beaufort Sea	Migration, Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1977-12-31	1977-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-145.54103	70.65157	70.17866	-149.69287	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1978-09-30	open	https://walrus.wr.usgs.gov/namss/survey/w-19-78-ar/dataset/	Unspecified	namss.W-19-78-AR.mcs.airgun.zip					dataset	Unspecified		Unspecified	275.9 MB	1978-09-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1978/namss.W-19-78-AR.mcs.airgun.zip										Beaufort Sea	Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1978-09-30	1978-09-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						CSV	no	WGS84	-79.97505	25.86359	25.45895	-80.21400	processed	jdixon@usgs.gov	Joann Dixon	U.S. Geological Survey	originator	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2020-11-06	open	https://walrus.wr.usgs.gov/namss/survey/w-2-11-fl/dataset/	Unspecified	namss.W-2-11-FL.mcs.airgun.zip					dataset	Unspecified		Unspecified	7.4 MB	2011-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/2011/namss.W-2-11-FL.mcs.airgun.zip										Florida	Stack	Seismic:Reflection		kcunning@usgs.gov	Kevin J. Cunningham	U.S. Geological Survey	principalInvestigator	DigitalSeg:DigitallyAcquired		2011-01-01	2011-01-01	2020-11-06	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2020-11-30	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-122.31601	48.96930	47.11307	-123.22994	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1971-06-04	open	https://walrus.wr.usgs.gov/namss/survey/w-2-70-ps/dataset/	Unspecified	namss.W-2-70-PS.mcs.airgun.zip					dataset	Unspecified		Unspecified	139.8 MB	1971-02-11	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1970/namss.W-2-70-PS.mcs.airgun.zip										Washington	Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1971-06-04	1971-02-11	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-117.18103	34.07733	32.50793	-119.40452	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1970-12-31	open	https://walrus.wr.usgs.gov/namss/survey/w-2-70-sc/dataset/	Unspecified	namss.W-2-70-SC.mcs.airgun.zip					dataset	Unspecified		Unspecified	146.9 MB	1969-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1970/namss.W-2-70-SC.mcs.airgun.zip										Southern California	Migration, Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1970-12-31	1969-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-151.83409	59.95388	58.85765	-153.77489	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1975-07-31	open	https://walrus.wr.usgs.gov/namss/survey/w-2-75-wg/dataset/	Unspecified	namss.W-2-75-WG.mcs.airgun.zip					dataset	Unspecified		Unspecified	1.4 GB	1975-06-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1975/namss.W-2-75-WG.mcs.airgun.zip										Western Gulf of Alaska	Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1975-07-31	1975-06-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-66.00376	41.66749	40.15259	-70.19787	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1977-12-31	open	https://walrus.wr.usgs.gov/namss/survey/w-2-77-gk/dataset/	Unspecified	namss.W-2-77-GK.mcs.airgun.zip					dataset	Unspecified		Unspecified	253.3 MB	1977-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1977/namss.W-2-77-GK.mcs.airgun.zip										Atlantic Ocean	Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1977-12-31	1977-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						410	undocumented	NAD27	-78.89267	42.82184	41.44682	-82.41347	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1977-12-31	open	https://walrus.wr.usgs.gov/namss/survey/w-2-77-le/dataset/	Unspecified	namss.W-2-77-LE.mcs.airgun.zip					dataset	Unspecified		Unspecified	2.4 GB	1977-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1977/namss.W-2-77-LE.mcs.airgun.zip										Lake Erie	Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1977-12-31	1977-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Other											Other						420	undocumented	WGS84	-109.07117	42.07958	41.66406	-109.72692	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1991-08-31	open	https://walrus.wr.usgs.gov/namss/survey/w-2-91-wy/dataset/	Unspecified	namss.W-2-91-WY.mcs.airgun.zip					dataset	Unspecified		Unspecified	281.3 MB	1991-08-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1991/namss.W-2-91-WY.mcs.airgun.zip										Wyoming	Migration, Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1991-08-31	1991-08-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-09-17	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-145.58970	70.70978	70.20916	-149.28421	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1979-12-31	open	https://walrus.wr.usgs.gov/namss/survey/w-20-79-ar/dataset/	Unspecified	namss.W-20-79-AR.mcs.airgun.zip					dataset	Unspecified		Unspecified	98.0 MB	1979-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1979/namss.W-20-79-AR.mcs.airgun.zip										Beaufort Sea	Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1979-12-31	1979-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-163.05613	64.31463	62.96968	-167.13031	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1980-06-30	open	https://walrus.wr.usgs.gov/namss/survey/w-21-80-bs/dataset/	Unspecified	namss.W-21-80-BS.mcs.airgun.zip					dataset	Unspecified		Unspecified	834.1 MB	1980-06-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1980/namss.W-21-80-BS.mcs.airgun.zip										Bering Sea	Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1980-06-30	1980-06-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						410	undocumented	NAD27	-120.66818	41.13007	34.47043	-124.96610	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1979-12-31	open	https://walrus.wr.usgs.gov/namss/survey/w-22-79-np/dataset/	Unspecified	namss.W-22-79-NP.mcs.airgun.zip					dataset	Unspecified		Unspecified	1.7 GB	1979-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1979/namss.W-22-79-NP.mcs.airgun.zip										Northern California	Migration, Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1979-12-31	1979-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-119.12334	34.56151	33.77450	-120.97310	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1981-11-30	open	https://walrus.wr.usgs.gov/namss/survey/w-23-81-sc/dataset/	Unspecified	namss.W-23-81-SC.mcs.airgun.zip					dataset	Unspecified		Unspecified	739.3 MB	1981-11-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1981/namss.W-23-81-SC.mcs.airgun.zip										Southern California	Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1981-11-30	1981-11-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						420	undocumented	NAD27	-148.97288	71.08428	70.49585	-153.23311	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1980-09-30	open	https://walrus.wr.usgs.gov/namss/survey/w-25-80-ar/dataset/	Unspecified	namss.W-25-80-AR.mcs.airgun.zip					dataset	Unspecified		Unspecified	382.1 MB	1980-08-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1980/namss.W-25-80-AR.mcs.airgun.zip										Beaufort Sea	Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1980-09-30	1980-08-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						410	undocumented	NAD27	-152.38086	59.64762	57.94947	-154.10612	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	1980-10-31	open	https://walrus.wr.usgs.gov/namss/survey/w-26-80-wg/dataset/	Unspecified	namss.W-26-80-WG.mcs.airgun.zip					dataset	Unspecified		Unspecified	1.1 GB	1980-10-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1980/namss.W-26-80-WG.mcs.airgun.zip										Gulf of Alaska	Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1980-10-31	1980-10-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
